"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 20 05:38:14 GMT 2021","Wed Jan 20 05:38:56 GMT 2021","41419","tests.Regression testing.Smoke tests.Login","test_TestSmokeTesting","","","","test_AT_5_login_from_token",""
"passed","Wed Jan 20 05:37:53 GMT 2021","Wed Jan 20 05:38:04 GMT 2021","11034","tests.Regression testing.VRT.Main_page","test_Regression_testing_VRT_Main_page","","","","test_AT_6_vrt_main_page",""
"broken","Wed Jan 20 05:38:15 GMT 2021","Wed Jan 20 05:39:07 GMT 2021","51802","tests.Regression testing.VRT.Login","test_Regression_testing_VRT_Login","","","","test_AT_7_vrt_main_page_click_on_the_yellow_button",""
"passed","Wed Jan 20 05:37:38 GMT 2021","Wed Jan 20 05:38:03 GMT 2021","24559","tests.Regression testing.Smoke tests.Login","test_TestSmokeTesting","","","","test_AT_3_login_from_login_page_with_valid_credentials",""
"broken","Wed Jan 20 05:38:06 GMT 2021","Wed Jan 20 05:38:37 GMT 2021","31034","tests.Regression testing.VRT.Login","test_Regression_testing_VRT_Login","","","","vrt_main_page_modal_window_top_right_button_with_valid_credentials_before_click",""
"passed","Wed Jan 20 05:37:38 GMT 2021","Wed Jan 20 05:37:49 GMT 2021","11252","tests.Regression testing.Smoke tests.Login","test_TestSmokeTesting","","","","test_AT_4_login_from_login_page_with_invalid_credentials",""
"broken","Wed Jan 20 05:37:39 GMT 2021","Wed Jan 20 05:38:11 GMT 2021","32131","tests.Regression testing.Smoke tests.Login","test_TestSmokeTesting","","","","test_AT_2_login_from_main_page_with_invalid_credentials",""
"broken","Wed Jan 20 05:37:38 GMT 2021","Wed Jan 20 05:38:10 GMT 2021","32231","tests.Regression testing.Smoke tests.Login","test_TestSmokeTesting","","","","test_AT_1_login_from_main_page_with_valid_credentials",""
