"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 20 06:04:48 GMT 2021","Wed Jan 20 06:04:58 GMT 2021","10496","tests.Regression testing.Smoke tests.Login","test_TestSmokeTesting","","","","test_AT_4_login_from_login_page_with_invalid_credentials",""
"passed","Wed Jan 20 06:04:49 GMT 2021","Wed Jan 20 06:05:15 GMT 2021","25366","tests.Regression testing.Smoke tests.Login","test_TestSmokeTesting","","","","test_AT_3_login_from_login_page_with_valid_credentials",""
"passed","Wed Jan 20 06:04:48 GMT 2021","Wed Jan 20 06:05:15 GMT 2021","27149","tests.Regression testing.Smoke tests.Login","test_TestSmokeTesting","","","","test_AT_1_login_from_main_page_with_valid_credentials",""
"passed","Wed Jan 20 06:05:02 GMT 2021","Wed Jan 20 06:05:13 GMT 2021","10837","tests.Regression testing.VRT.Main_page","test_Regression_testing_VRT_Main_page","","","","test_AT_6_vrt_main_page",""
"passed","Wed Jan 20 06:05:18 GMT 2021","Wed Jan 20 06:05:27 GMT 2021","9448","tests.Regression testing.Smoke tests.Login","test_TestSmokeTesting","","","","test_AT_5_login_from_token",""
"passed","Wed Jan 20 06:05:02 GMT 2021","Wed Jan 20 06:05:18 GMT 2021","15682","tests.Regression testing.VRT.Login","test_Regression_testing_VRT_Login","","","","test_AT_7_vrt_main_page_click_on_the_yellow_button",""
"passed","Wed Jan 20 06:04:49 GMT 2021","Wed Jan 20 06:04:59 GMT 2021","9899","tests.Regression testing.Smoke tests.Login","test_TestSmokeTesting","","","","test_AT_2_login_from_main_page_with_invalid_credentials",""
"passed","Wed Jan 20 06:05:18 GMT 2021","Wed Jan 20 06:05:26 GMT 2021","8419","tests.Regression testing.VRT.Login","test_Regression_testing_VRT_Login","","","","vrt_main_page_modal_window_top_right_button_with_valid_credentials_before_click",""
