"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 20 04:26:40 GMT 2021","Wed Jan 20 04:26:51 GMT 2021","10978","tests.Regression testing.Smoke tests.Login","test_TestSmokeTesting","","","","test_AT_5_login_from_token",""
"passed","Wed Jan 20 04:26:02 GMT 2021","Wed Jan 20 04:26:36 GMT 2021","33171","tests.Regression testing.Smoke tests.Login","test_TestSmokeTesting","","","","test_AT_3_login_from_login_page_with_valid_credentials",""
"passed","Wed Jan 20 04:26:21 GMT 2021","Wed Jan 20 04:26:33 GMT 2021","12276","tests.Regression testing.VRT.Main_page","test_Regression_testing_VRT_Main_page","","","","test_AT_6_vrt_main_page",""
"passed","Wed Jan 20 04:26:02 GMT 2021","Wed Jan 20 04:26:15 GMT 2021","13182","tests.Regression testing.Smoke tests.Login","test_TestSmokeTesting","","","","test_AT_4_login_from_login_page_with_invalid_credentials",""
"passed","Wed Jan 20 04:26:04 GMT 2021","Wed Jan 20 04:26:35 GMT 2021","31611","tests.Regression testing.Smoke tests.Login","test_TestSmokeTesting","","","","test_AT_1_login_from_main_page_with_valid_credentials",""
"passed","Wed Jan 20 04:26:02 GMT 2021","Wed Jan 20 04:26:15 GMT 2021","12481","tests.Regression testing.Smoke tests.Login","test_TestSmokeTesting","","","","test_AT_2_login_from_main_page_with_invalid_credentials",""
"passed","Wed Jan 20 04:26:40 GMT 2021","Wed Jan 20 04:26:50 GMT 2021","10356","tests.Regression testing.VRT.Login","test_Regression_testing_VRT_Login","","","","vrt_main_page_modal_window_top_right_button_with_valid_credentials_before_click",""
"passed","Wed Jan 20 04:26:22 GMT 2021","Wed Jan 20 04:26:39 GMT 2021","17630","tests.Regression testing.VRT.Login","test_Regression_testing_VRT_Login","","","","test_AT_7_vrt_main_page_click_on_the_yellow_button",""
