"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 26 09:59:22 GMT 2021","Tue Jan 26 09:59:33 GMT 2021","10665","tests.Regression testing.Smoke tests.Login","test_TestSmokeTesting","","","","test_AT_1_login_from_main_page_with_valid_credentials",""
"passed","Tue Jan 26 09:59:40 GMT 2021","Tue Jan 26 09:59:52 GMT 2021","11622","tests.Regression testing.Smoke tests.Login","test_TestSmokeTesting","","","","test_AT_3_login_from_login_page_with_valid_credentials",""
"passed","Tue Jan 26 09:59:34 GMT 2021","Tue Jan 26 09:59:39 GMT 2021","4596","tests.Regression testing.Smoke tests.Login","test_TestSmokeTesting","","","","test_AT_2_login_from_main_page_with_invalid_credentials",""
"passed","Tue Jan 26 10:00:00 GMT 2021","Tue Jan 26 10:00:08 GMT 2021","8026","tests.Regression testing.Smoke tests.Login","test_TestSmokeTesting","","","","test_AT_5_login_from_token",""
"broken","Tue Jan 26 10:00:10 GMT 2021","Tue Jan 26 10:00:13 GMT 2021","3562","tests.Regression testing.VRT.Main_page","test_Regression_testing_VRT_Main_page","","","","test_AT_6_vrt_main_page",""
"passed","Tue Jan 26 09:59:53 GMT 2021","Tue Jan 26 09:59:59 GMT 2021","5559","tests.Regression testing.Smoke tests.Login","test_TestSmokeTesting","","","","test_AT_4_login_from_login_page_with_invalid_credentials",""
