"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 21 05:41:00 GMT 2021","Thu Jan 21 05:41:11 GMT 2021","10332","tests.Regression testing.Smoke tests.Login","test_TestSmokeTesting","","","","test_AT_4_login_from_login_page_with_invalid_credentials",""
"passed","Thu Jan 21 05:41:15 GMT 2021","Thu Jan 21 05:41:31 GMT 2021","15969","tests.Regression testing.VRT.Main_page","test_Regression_testing_VRT_Main_page","","","","test_AT_6_vrt_main_page",""
"passed","Thu Jan 21 05:41:02 GMT 2021","Thu Jan 21 05:41:32 GMT 2021","29719","tests.Regression testing.Smoke tests.Login","test_TestSmokeTesting","","","","test_AT_3_login_from_login_page_with_valid_credentials",""
"passed","Thu Jan 21 05:41:33 GMT 2021","Thu Jan 21 05:41:45 GMT 2021","11493","tests.Regression testing.Smoke tests.Login","test_TestSmokeTesting","","","","test_AT_5_login_from_token",""
"passed","Thu Jan 21 05:41:01 GMT 2021","Thu Jan 21 05:41:30 GMT 2021","28860","tests.Regression testing.Smoke tests.Login","test_TestSmokeTesting","","","","test_AT_1_login_from_main_page_with_valid_credentials",""
"passed","Thu Jan 21 05:41:01 GMT 2021","Thu Jan 21 05:41:13 GMT 2021","12176","tests.Regression testing.Smoke tests.Login","test_TestSmokeTesting","","","","test_AT_2_login_from_main_page_with_invalid_credentials",""
"passed","Thu Jan 21 05:41:17 GMT 2021","Thu Jan 21 05:41:38 GMT 2021","20782","tests.Regression testing.VRT.Login","test_Regression_testing_VRT_Login","","","","test_AT_7_vrt_main_page_click_on_the_yellow_button",""
"passed","Thu Jan 21 05:41:35 GMT 2021","Thu Jan 21 05:41:50 GMT 2021","14912","tests.Regression testing.VRT.Login","test_Regression_testing_VRT_Login","","","","vrt_main_page_modal_window_top_right_button_with_valid_credentials_before_click",""
